mql_id,first_contact_date,landing_page_id,origin
MQL_00001,2025-01-03,LP_007,organic_search
MQL_00002,2025-01-06,LP_005,organic_search
MQL_00003,2025-01-03,LP_002,organic_search
MQL_00004,2025-01-06,LP_005,organic_search
MQL_00005,2025-01-04,LP_012,organic_search
MQL_00006,2025-01-05,LP_008,organic_search
MQL_00007,2025-01-05,LP_014,organic_search
MQL_00008,2025-01-07,LP_009,organic_search
MQL_00009,2025-01-21,LP_001,organic_search
MQL_00010,2025-01-10,LP_007,organic_search
MQL_00011,2025-01-22,LP_009,organic_search
MQL_00012,2025-01-05,LP_008,organic_search
MQL_00013,2025-01-12,LP_007,organic_search
MQL_00014,2025-01-15,LP_012,organic_search
MQL_00015,2025-01-21,LP_001,organic_search
MQL_00016,2025-01-10,LP_004,organic_search
MQL_00017,2025-01-03,LP_001,organic_search
MQL_00018,2025-01-28,LP_013,organic_search
MQL_00019,2025-01-08,LP_014,organic_search
MQL_00020,2025-01-17,LP_011,organic_search
MQL_00021,2025-01-11,LP_007,organic_search
MQL_00022,2025-01-19,LP_006,organic_search
MQL_00023,2025-01-21,LP_011,organic_search
MQL_00024,2025-01-26,LP_006,organic_search
MQL_00025,2025-01-16,LP_010,organic_search
MQL_00026,2025-01-22,LP_012,organic_search
MQL_00027,2025-01-17,LP_014,organic_search
MQL_00028,2025-01-18,LP_008,organic_search
MQL_00029,2025-01-15,LP_005,organic_search
MQL_00030,2025-01-19,LP_003,organic_search
MQL_00031,2025-01-26,LP_005,organic_search
MQL_00032,2025-01-06,LP_013,organic_search
MQL_00033,2025-01-09,LP_004,organic_search
MQL_00034,2025-01-16,LP_006,organic_search
MQL_00035,2025-01-10,LP_013,organic_search
MQL_00036,2025-01-28,LP_001,organic_search
MQL_00037,2025-01-05,LP_006,organic_search
MQL_00038,2025-01-10,LP_008,organic_search
MQL_00039,2025-01-06,LP_010,organic_search
MQL_00040,2025-01-06,LP_012,organic_search
MQL_00041,2025-01-18,LP_005,organic_search
MQL_00042,2025-01-06,LP_003,organic_search
MQL_00043,2025-01-27,LP_012,organic_search
MQL_00044,2025-01-23,LP_015,organic_search
MQL_00045,2025-01-22,LP_013,organic_search
MQL_00046,2025-01-05,LP_003,organic_search
MQL_00047,2025-01-08,LP_002,organic_search
MQL_00048,2025-01-02,LP_006,organic_search
MQL_00049,2025-01-19,LP_003,organic_search
MQL_00050,2025-01-15,LP_005,organic_search
MQL_00051,2025-01-12,LP_003,organic_search
MQL_00052,2025-01-07,LP_009,organic_search
MQL_00053,2025-01-23,LP_001,organic_search
MQL_00054,2025-01-22,LP_006,organic_search
MQL_00055,2025-01-12,LP_003,organic_search
MQL_00056,2025-01-12,LP_008,organic_search
